EMPLOYER_NAME,Count
INFOSYS LIMITED,79119
TATA CONSULTANCY SERVICES LIMITED,43223
IBM INDIA PRIVATE LIMITED,29214
WIPRO LIMITED,27983
CAPGEMINI AMERICA INC,26329
ACCENTURE LLP,25772
DELOITTE CONSULTING LLP,22430
"TECH MAHINDRA (AMERICAS),INC.",17594
"HCL AMERICA, INC.",15304
ERNST & YOUNG U.S. LLP,14751
MICROSOFT CORPORATION,14609
GOOGLE INC.,13430
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,11599
AMAZON CORPORATE LLC,8859
LARSEN & TOUBRO INFOTECH LIMITED,7859
IBM CORPORATION,7526
IGATE TECHNOLOGIES INC.,6751
SYNTEL CONSULTING INC.,6745
JPMORGAN CHASE & CO.,5054
INTEL CORPORATION,4884
APPLE INC.,4870
L&T TECHNOLOGY SERVICES LIMITED,4691
UST GLOBAL INC,4616
DELOITTE & TOUCHE LLP,4500
"HEXAWARE TECHNOLOGIES, INC.",4094
"TECH MAHINDRA (AMERICAS), INC.",4066
PRICEWATERHOUSECOOPERS LLP,3938
"FACEBOOK, INC.",3915
UST GLOBAL INC.,3770
"NTT DATA, INC.",3665
KPMG LLP,3430
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,3412
"FUJITSU AMERICA, INC.",3012
"COMPUNNEL SOFTWARE GROUP, INC.",2965
"V-SOFT CONSULTING GROUP, INC",2952
MINDTREE LIMITED,2939
MPHASIS CORPORATION,2827
BANK OF AMERICA N.A.,2756
VIRTUSA CORPORATION,2718
"WAL-MART ASSOCIATES, INC.",2698
"QUALCOMM TECHNOLOGIES, INC.",2650
PEOPLE TECH GROUP INC.,2556
CUMMINS INC.,2529
SYNTEL INC,2460
"CAPITAL ONE SERVICES, LLC",2457
HTC GLOBAL SERVICES INC.,2438
"PERSISTENT SYSTEMS, INC.",2382
"SYNECHRON, INC.",2335
HCL GLOBAL SYSTEMS INC,2257
EMC CORPORATION,2193
EBAY INC.,2115
LINKEDIN CORPORATION,2108
"MASTECH, INC., A MASTECH HOLDINGS, INC. COMPANY",2048
"ORACLE AMERICA, INC.",1991
CERNER CORPORATION,1968
"CISCO SYSTEMS, INC.",1960
"GOLDMAN, SACHS & CO.",1957
"VMWARE, INC.",1945
"PAYPAL, INC.",1910
"RANDSTAD TECHNOLOGIES, LP",1888
UNIVERSITY OF MICHIGAN,1810
POPULUS GROUP LLC,1804
CAPGEMINI FINANCIAL SERVICES USA INC,1800
ERICSSON INC.,1786
VEDICSOFT SOLUTIONS LLC,1714
"UBER TECHNOLOGIES, INC.",1637
DELOITTE TAX LLP,1616
YAHOO! INC.,1595
BIRLASOFT INC,1572
"3I INFOTECH, INC.",1548
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1534
SALESFORCE.COM INC.,1516
SYSTEM SOFT TECHNOLOGIES LLC,1505
TECH MAHINDRA (AMERICAS) INC.,1480
CREDIT SUISSE SECURITIES (USA) LLC,1454
"CYIENT, INC.",1433
"MARLABS, INC.",1432
"RELIABLE SOFTWARE RESOURCES, INC.",1417
CAPGEMINI U.S. LLC,1416
"YASH TECHNOLOGIES, INC.",1396
"BLOOMBERG, LP",1385
"GRANDISON MANAGEMENT, INC.",1383
"CIBER, INC.",1376
CGI TECHNOLOGIES AND SOLUTIONS INC.,1350
EXILANT TECHNOLOGIES PRIVATE LIMITED,1347
DELL MARKETING L.P.,1342
KFORCE INC.,1338
"THE MATHWORKS, INC.",1323
"PYRAMID TECHNOLOGY SOLUTIONS, INC",1303
SAPIENT CORPORATION,1268
HITACHI CONSULTING CORPORATION,1265
HEADSTRONG SERVICES LLC,1265
"INOVANT, LLC",1256
"KPIT INFOSYSTEMS, INC.",1249
INTONE NETWORKS INC.,1248
"CITIBANK, N.A.",1246
"ERP ANALYSTS, INC.",1215
SYMANTEC CORPORATION,1212
"GLOBALLOGIC,INC.",1207
AVCO CONSULTING INC,1206
